minikube 1.24.0-1
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20210805-1
modemmanager 1.18.2-1
mousetweaks 3.32.0-2
mutter 41.1-1
nano 5.9-1
nautilus 41.1-1
nautilus-admin 1.1.9+5+ga51885e-1
nautilus-empty-file 1.2-1
neovim 0.5.1-2
net-tools-debian-ifconfig 1.60.20161209git-2
netctl 1.26-1
network-manager-applet 1.24.0-1
networkmanager 1.32.12-1
networkmanager-openconnect 1.2.7dev+65+gca4187c-1
networkmanager-openvpn 1.8.16-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-4
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.4-1
noto-fonts 20201226-2
noto-fonts-compat 20151217-1
npm-check-updates 12.0.1-1
nss-mdns 0.15.1-1
ntfs-3g 2021.8.22-1
ntp 4.2.8.p15-1
numlockx 1.2-5
nvme-cli 1.16-1
onlyoffice-desktopeditors 6.4.2-1
openresolv 3.12.0-1
openssh 8.8p1-1
os-prober 1.79-1
p7zip 1:17.04-3
pacui 1.14-1
pamac-gnome-integration 10.3.0-1
pamac-gtk 10.3.0-1
papirus-maia-icon-theme 20200702-1
paprefs 1.1-2
pass 1.7.4-1
pasystray 0.8.0-1
pavucontrol 1:5.0-1
perl 5.34.0-2
picom 8.2-1
pinentry-rofi 2.0.3-2
plymouth-theme-abstract-ring-git r38.bf2f570-1
plymouth-theme-manjaro 2.1-2
polkit-gnome 0.105-8
polybar 3.5.5-1
postgresql-libs 13.4-2
powertop 2.14-1
pulseaudio-bluetooth 15.0-1
pulseaudio-ctl 1.70-1
pulseaudio-zeroconf 15.0-1
pulsemixer 1.5.1-2
pyenv 2.2.0-1
pyenv-virtualenv 1:1.1.5-3
python-pip 20.3.4-1
python-pynvim 0.4.3-1
python-virtualenv 20.8.0-1
qgnomeplatform 0.8.2-1
qrencode 4.1.1-1
qt5ct 1.5-1
reiserfsprogs 3.6.27-3
rofi 1.7.0-1
rofi-calc 2.0.0-1
rofi-dmenu 1-1
rsync 3.2.3-4
rygel 1:0.40.2-3
s-nail 14.9.22-1
scrot 1.7-1
seahorse 1:41.0-1
siji-ng 1.1-1
simple-scan 40.6-1
skaffold 1.34.0-1
slack-desktop 4.22.0-1
smartmontools 7.2-1
snapd-glib 1.54-1
spectre-meltdown-checker 0.44-1
spotify 1:1.1.72.439-3
starship 1.0.0-1
sudo 1.9.8.p2-1
sushi 41.0-1
sysfsutils 2.1.1-1
systemd 249.6-3
systemd-fsck-silent 239-1
systemd-sysvcompat 249.6-3
tastyworks 1.19.3-1
tcpdump 4.99.1-1
texinfo 6.8-2
the_silver_searcher 2.2.0-2
thunderbird 91.4.0-0.1
timeshift 21.09.1-3
timeshift-autosnap-manjaro 0.10-1
tlp 1.4.0-3
totem 3.38.2-1
touche 2.0.1-1
tracker 2.3.6+7+gb27396252-2
tracker-miners 2.3.5+2+gec09554af-3
transmission-gtk 3.00-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-inconsolata 1:3.000-3
ttf-indic-otf 0.2-11
ttf-joypixels 6.6.0-1
ttf-liberation 2.1.5-1
ttf-unifont 14.0.01-1
udiskie 2.3.3-1
unace 2.5-11
unrar 1:6.1.2-1
usb_modeswitch 2.6.1-1
usbutils 014-1
vi 1:070224-5
vino 3.22.0+74+g7a95e10-1
vulkan-intel 21.2.5-1
vulkan-radeon 21.2.5-1
wallpapers-2018 1.2-1
wallpapers-juhraya 1.1-2
wdiff 1.2.2-4
webapp-manager 1.1.5+1+g2f3e132-1
wget 1.21.2-1
which 2.21-5
wireshark-qt 3.4.9-1
wl-clipboard 1:2.0.0-2
wmname 0.1-5
wpa_supplicant 2:2.9-8
xdg-user-dirs 0.17-3
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20211022.1-1
xf86-input-elographics 1.4.2-3
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.2.0-2
xf86-input-void 1.4.1-6
xf86-input-wacom 0.40.0-2
xf86-video-amdgpu 21.0.0-2
xf86-video-ati 1:19.1.0.r9.g5eba006e-1
xf86-video-intel 1:2.99.917+916+g31486f40-2
xf86-video-nouveau 1.0.17-2
xfsprogs 5.13.0-1
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 21.1.1-3.1
xorg-sessreg 1.1.2-2
xorg-smproxy 1.0.6-3
xorg-twm 1.0.11-1
xorg-x11perf 1.6.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xinit 1.4.1-3
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xpr 1.0.5-2
xorg-xrefresh 1.0.6-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.8-1
xorg-xwud 1.0.5-2
xsel 1.2.0.20190821-1
yarn 1.22.17-1
yelp 41.1-1
zoom 5.8.6-1
